157,19,106,37,388,155,48,45,50,376,224,112,27,4,2,7
48 ,13 ,26 ,13 ,207 ,61 ,14 ,19 ,29 ,134 ,61 ,53 ,12 ,2 ,1,5
58 ,3 ,38 ,10 ,101 ,45 ,15 ,17 ,9 ,157 ,108 ,37 ,7 ,2 ,1,2
44 ,2 ,31 ,9 ,64 ,43 ,12 ,6 ,12 ,72 ,44 ,21 ,7 ,,,
7 ,1 ,11 ,5 ,16 ,6 ,7 ,3 ,,13 ,11 ,1 ,1 ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1 ,,1 ,,4 ,,,,3 ,1 ,1 ,,,,,
1 ,,1 ,,,,,,3 ,1 ,1 ,,,,,
,,,,4 ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1 ,,,,5 ,,,,,,,,,,,
1 ,,,,1 ,,,,,,,,,,,
,,,,4 ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1 ,,,,2 ,,,,,1 ,1 ,,,,,
,,,,2 ,,,,,1 ,1 ,,,,,
1 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
100 ,17 ,40 ,23 ,281 ,95 ,31 ,28 ,4 ,69 ,39 ,25 ,3 ,,1,1
11 ,7 ,4 ,7 ,100 ,12 ,2 ,8 ,1 ,18 ,9 ,7 ,,,1,1
,6 ,1 ,,19 ,2 ,,,,1 ,1 ,,,,,
7 ,,,,,4 ,,,,1 ,1 ,,,,,
,,,,2 ,,,,,,,,,,,
,,,,14 ,8 ,9 ,,,4 ,,2 ,2 ,,,
,,,,1 ,,,,,,,,,,,
,,,,15 ,1 ,,1 ,,,,,,,,
,,,,4 ,6 ,,1 ,,3 ,3 ,,,,,
34 ,2 ,16 ,3 ,77 ,33 ,12 ,13 ,3 ,15 ,6 ,8 ,1 ,,,
41 ,2 ,15 ,8 ,35 ,26 ,5 ,4 ,,19 ,11 ,8 ,,,,
7 ,,4 ,5 ,14 ,3 ,3 ,1 ,,8 ,8 ,,,,,
,,,,,,,,,,,,,,,
21 ,,,3 ,9 ,6 ,1 ,,1 ,172 ,102 ,52 ,12 ,4 ,,2
6 ,,,1 ,6 ,2 ,1 ,,1 ,41 ,,31 ,6 ,2 ,,2
15 ,,,2 ,2 ,4 ,,,,105 ,81 ,16 ,6 ,2 ,,
,,,,1 ,,,,,26 ,21 ,5 ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7 ,,22 ,,6 ,11 ,6 ,3 ,8 ,12 ,6 ,5 ,1 ,,,
,,,,,1 ,1 ,,5 ,1 ,1 ,,,,,
,,1 ,,,,,,,,,,,,,
3 ,,2 ,,1 ,1 ,,,2 ,2 ,2 ,,,,,
4 ,,9 ,,2 ,4 ,2 ,1 ,,2 ,1 ,1 ,,,,
,,9 ,,3 ,3 ,3 ,2 ,1 ,4 ,,3 ,1 ,,,
,,1 ,,,2 ,,,,3 ,2 ,1 ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
15 ,,15 ,5 ,36 ,17 ,1 ,3 ,10 ,36 ,22 ,9 ,2 ,,,3
1 ,,2 ,,,,,,,,,,,,,
,,,,1 ,,,,1 ,,,,,,,
11 ,,7 ,3 ,22 ,12 ,,3 ,8 ,28 ,20 ,4 ,2 ,,,2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2 ,,3 ,2 ,8 ,2 ,,,1 ,6 ,1 ,4 ,,,,1
1 ,,3 ,,5 ,3 ,1 ,,,2 ,1 ,1 ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5 ,1 ,2 ,1 ,6 ,1 ,,1 ,2 ,8 ,7 ,1 ,,,,
,,,,,,,,,,,,,,,
,,,,1 ,,,,,,,,,,,
4 ,,,,,,,,,,,,,,,
,,1 ,,1 ,,,,,1 ,1 ,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1 ,1 ,1 ,1 ,2 ,1 ,,1 ,,4 ,3 ,1 ,,,,
,,,,2 ,,,,2 ,2 ,2 ,,,,,
,,,,,,,,,1 ,1 ,,,,,
,,,,,,,,,,,,,,,
,,3 ,1 ,7 ,6 ,,2 ,4 ,8 ,6 ,1 ,1 ,,,
,,,,,,,,,,,,,,,
,,1 ,1 ,5 ,1 ,,2 ,2 ,5 ,4 ,1 ,,,,
,,1 ,,1 ,,,,,1 ,1 ,,,,,
,,,,,,,,2 ,,,,,,,
,,,,,,,,,1 ,1 ,,,,,
,,,,,4 ,,,,1 ,,,1 ,,,
,,,,,,,,,,,,,,,
,,1 ,,1 ,1 ,,,,,,,,,,
